Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Total Traded Quantity,Value,No. Of Trades,DailyReturn,DailyRange,DailyRangePct,AvgTradeSize,Turnover
GOLD10G99,EG,2026-08-17,156298.0,158905.0,158962.0,158905.0,158961.0,158961.0,218.0,34647503.0,98.0,,57.0,0.000358704886567446,353545.94897959183,34647503.0
GOLD10G99,EG,2026-08-18,158961.0,158971.0,159006.0,158968.0,159006.0,159006.0,228.0,36249439.0,101.0,0.00028308830467849155,38.0,0.00023903730869152234,358905.3366336634,36249439.0
GOLD10G99,EG,2026-08-19,159006.0,158068.0,158090.0,158031.0,158090.0,158090.0,151.0,23866154.0,61.0,-0.005760788901047809,59.0,0.00037325707923172306,391248.4262295082,23866154.0
GOLD10G99,EG,2026-08-20,158090.0,162453.0,163474.0,162453.0,162480.0,162480.0,81.0,13163957.0,38.0,0.02776899234613195,1021.0,0.006284894708007855,346419.9210526316,13163957.0
GOLD10G99,EG,2026-08-21,162480.0,164600.0,164623.0,164600.0,164623.0,164623.0,92.0,15144088.0,44.0,0.013189315608074903,23.0,0.00013973268529769137,344183.8181818182,15144088.0
GOLD10G99,EG,2026-08-24,164623.0,166853.0,166887.0,166853.0,166887.0,166887.0,109.0,18188565.0,53.0,0.013752634808015918,34.0,0.0002037721826997417,343180.4716981132,18188565.0
GOLD10G99,EG,2026-08-25,166887.0,167156.0,167173.0,167154.0,167173.0,167173.0,123.0,20561161.0,52.0,0.0017137344430662171,19.0,0.00011366627581420948,395406.9423076923,20561161.0
GOLD10G99,EG,2026-08-26,167173.0,167102.0,167124.0,167102.0,167122.0,167122.0,135.0,22560140.0,57.0,-0.0003050731876559354,22.0,0.0001316561142296322,395791.9298245614,22560140.0
GOLD10G99,EG,2026-08-27,167122.0,163181.0,163198.0,163177.0,163198.0,163198.0,124.0,20235197.0,49.0,-0.023479853041490695,21.0,0.0001286914530490682,412963.20408163266,20235197.0
GOLD10G99,EG,2026-08-28,163198.0,163244.0,163283.0,163243.0,163279.0,163279.0,106.0,17305529.0,40.0,0.0004963296118825067,40.0,0.00024503197667295583,432638.225,17305529.0
GOLD10G99,EG,2026-08-31,163279.0,159605.0,159630.0,159604.0,159630.0,159630.0,126.0,20112058.0,50.0,-0.022348250540485948,26.0,0.0001629021647191504,402241.16,20112058.0
GOLD10G99,EG,2026-09-01,159630.0,159715.0,159722.0,159714.0,159717.0,159717.0,123.0,19645364.0,43.0,0.0005450103364028624,8.0,5.008922142566447e-05,456868.93023255817,19645364.0
GOLD10G99,EG,2026-09-02,159717.0,155312.0,155334.0,155312.0,155334.0,155334.0,135.0,20968329.0,49.0,-0.02744228854786901,22.0,0.00014165035541361903,427925.0816326531,20968329.0
GOLD10G99,EG,2026-09-03,155334.0,159270.0,159282.0,159263.0,159282.0,159282.0,104.0,16564411.0,37.0,0.025416199930472505,19.0,0.00011929428015319897,447686.7837837838,16564411.0
GOLD10G99,EG,2026-09-04,159282.0,160170.0,160187.0,160168.0,160187.0,160187.0,104.0,16658329.0,37.0,0.0056817468389398496,19.0,0.00011862396204033214,450225.1081081081,16658329.0
GOLD10G99,EG,2026-09-07,160187.0,157538.0,157568.0,157538.0,157568.0,157568.0,136.0,21426857.0,44.0,-0.01634964135666439,30.0,0.00019043024540110957,486974.0227272727,21426857.0
GOLD10G99,EG,2026-09-08,157568.0,158326.0,158346.0,158322.0,158343.0,158343.0,124.0,19633426.0,41.0,0.0049185113728675844,24.0,0.000151585968192211,478864.0487804878,19633426.0
GOLD10G99,EG,2026-09-09,158343.0,157696.0,157737.0,157693.0,157737.0,157737.0,140.0,22080136.0,50.0,-0.0038271347644038833,44.0,0.00027901785714285713,441602.72,22080136.0
GOLD10G99,EG,2026-09-10,157737.0,158954.0,158982.0,158953.0,158982.0,158982.0,116.0,18440263.0,42.0,0.007892884992107163,29.0,0.0001824427192772752,439053.88095238095,18440263.0
GOLD10G99,EG,2026-09-11,158982.0,156868.0,156897.0,156868.0,156897.0,156897.0,102.0,16002032.0,37.0,-0.013114692229308944,29.0,0.000184868806894969,432487.35135135136,16002032.0
