Year,OpenPrice,ClosePrice,YearReturn,AvgDeliveryPct,AvgDailyVolume,TradingDays
2021,216.0,218.05,0.009490740740740744,46.02653333333333,26648980.22368421,76
2022,219.1,331.55,0.5132359653126428,55.75205645161291,16485413.188235294,255
2023,332.85,462.1,0.3883130539281958,58.68536585365853,11243981.74390244,246
2024,468.05,483.65,0.033329772460207074,58.407590361445784,15143955.293172691,249
2025,483.95,403.0,-0.16726934600681886,65.40819277108433,15151727.81027668,253
2026,363.85,258.0,-0.29091658650542807,58.37000000000001,21393423.45402299,174
