RelativeDay,AvgAR_All,AvgAR_Up,AvgAR_Down,AvgCAR_All,AvgCAR_Up,AvgCAR_Down
-5,-0.0005827898475985354,0.00031660416536756465,-0.0015904442510142583,-0.0005827898475985354,0.00031660416536756465,-0.0015904442510142583
-4,1.3995032809307216e-05,0.0009994063646079005,-0.0010900306259650427,-0.0005687948147892282,0.0013160105299754653,-0.002680474876979301
-3,-0.0007529848763333267,0.0004271253608736253,-0.002075145419870746,-0.001321779691122555,0.0017431358908490905,-0.004755620296850047
-2,0.0007352332263800215,0.001989045819199441,-0.0006695012526121062,-0.0005865464647425335,0.0037321817100485315,-0.005425121549462153
-1,3.568675903923536e-05,0.003171784111567941,-0.003477903793330888,-0.0005508597057032981,0.0069039658216164725,-0.00890302534279304
0,0.005370202728361367,0.04565851705085551,-0.039767630910729296,0.004819343022658069,0.052562482872471984,-0.048670656253522335
1,-0.0003894099992660567,-0.0010446292004428895,0.00034467817983021014,0.004429933023392013,0.051517853672029094,-0.04832597807369213
2,-0.0009825056770178555,-0.0005131437745213773,-0.0015083648455555766,0.003447427346374157,0.051004709897507716,-0.0498343429192477
3,0.0002895893730369437,0.000285664803887728,0.0002939863440281945,0.0037370167194111007,0.05129037470139544,-0.049540356575219505
4,-0.0002581371329518088,-0.0010161126398086381,0.0005910761663970458,0.003478879586459292,0.050274262061586805,-0.04894928040882246
5,-0.0005620521337843512,-0.0019022861812236485,0.0009395063823281943,0.002916827452674941,0.048371975880363155,-0.04800977402649426
6,-0.0008495624000948696,-0.0016416306700223213,3.78474208423686e-05,0.0020672650525800714,0.046730345210340835,-0.047971926605651895
7,-0.00013530696563561077,0.00032889625744304726,-0.000655386502603366,0.0019319580869444606,0.04705924146778388,-0.04862731310825526
8,0.0002653204179841115,5.1123295036684216e-05,0.0005053005279529878,0.002197278504928572,0.047110364762820565,-0.04812201258030227
9,-0.00037364253316056516,0.00014627054990080718,-0.0009561377465904361,0.0018236359717680069,0.047256635312721375,-0.04907815032689271
10,0.0003096643112639586,0.0007244444903959404,-0.0001550431116524287,0.0021333002830319654,0.04798107980311732,-0.04923319343854514
11,-0.00032188431347613213,-0.0010581885201963075,0.0005030491033122123,0.0018114159695558332,0.046922891282921014,-0.04873014433523293
12,0.00023857932928451726,9.55483477763671e-06,0.0004951715870190773,0.0020499952988403507,0.04693244611769865,-0.04823497274821385
13,0.00030968996308797177,0.00027724037458733277,0.00034604552057479915,0.0023596852619283226,0.047209686492285984,-0.04788892722763905
14,0.0005294462716310865,-0.0007447391182812679,0.0019570058288477057,0.002889131533559409,0.046464947374004716,-0.04593192139879135
15,0.0003593460000024856,8.948929050423404e-05,0.0006616854615699713,0.003248477533561895,0.04655443666450895,-0.045270235937221376
16,-0.0005571073819805259,-0.0012028651661316052,0.00016638050581836795,0.0026913701515813688,0.04535157149837735,-0.04510385543140301
17,0.0006506795105842827,0.00013525986561819202,0.0012281404091111063,0.0033420496621656515,0.04548683136399554,-0.0438757150222919
18,0.0001735180706583403,0.0010489237161734112,-0.0008072604766316935,0.003515567732823992,0.04653575508016895,-0.0446829754989236
19,-0.00045794258425864887,0.0006754700887309324,-0.001727784560478457,0.0030576251485653428,0.04721122516889988,-0.046410760059402055
20,0.0012817494244437527,0.0016057488708828187,0.0009187500446370215,0.004339374573009095,0.048816974039782704,-0.045492010014765036
